epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88431,1.78229,2.98843,1.88855,0.01091,0.60916,0.31569,0.14996,1.78705,3.00538,1.7417,0.0003,0.0003,0.0003
2,11.9667,1.4328,1.97189,1.58476,0.94667,0.20729,0.38643,0.19941,1.99147,2.637,2.04926,0.000600373,0.000600373,0.000600373
3,17.0768,1.36842,1.69134,1.53552,0.69039,0.33219,0.40374,0.23036,1.93794,2.27286,1.83068,0.00088837,0.00088837,0.00088837
4,22.2068,1.33747,1.59701,1.50235,0.38102,0.49542,0.38129,0.1831,1.92891,3.58345,1.73623,0.00116399,0.00116399,0.00116399
5,27.1599,1.2814,1.49661,1.46723,0.73167,0.41337,0.46103,0.2549,1.79921,1.84544,1.726,0.001151,0.001151,0.001151
6,32.1267,1.24069,1.4318,1.43546,0.74685,0.44107,0.50443,0.28331,1.81511,1.65485,1.81346,0.00112625,0.00112625,0.00112625
7,37.0323,1.22491,1.37943,1.40582,0.43407,0.51944,0.47762,0.23427,1.83812,2.14948,1.78543,0.0011015,0.0011015,0.0011015
8,42.0238,1.19807,1.35148,1.3955,0.82959,0.58147,0.65076,0.37275,1.55097,1.66907,1.63957,0.00107675,0.00107675,0.00107675
9,46.8919,1.18459,1.30976,1.39613,0.64375,0.64981,0.66418,0.409,1.50168,1.33272,1.54103,0.001052,0.001052,0.001052
10,51.7621,1.13509,1.24073,1.37608,0.68008,0.63488,0.66827,0.39988,1.54329,1.36645,1.49089,0.00102725,0.00102725,0.00102725
11,56.7147,1.11544,1.21224,1.36063,0.69876,0.65359,0.64819,0.37757,1.47273,1.4143,1.45761,0.0010025,0.0010025,0.0010025
12,61.6507,1.11467,1.16814,1.32497,0.70001,0.70124,0.68911,0.43661,1.43344,1.41305,1.43503,0.00097775,0.00097775,0.00097775
