epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.67335,1.78229,2.98843,1.88855,0.01091,0.60916,0.31569,0.14996,1.78705,3.00538,1.7417,0.0003,0.0003,0.0003
2,11.9374,1.43187,1.97012,1.58852,0.96355,0.26022,0.42053,0.22783,1.89447,2.59667,1.90632,0.000608458,0.000608458,0.000608458
3,17.185,1.37089,1.69443,1.52919,0.62662,0.38831,0.4542,0.26222,1.87531,2.05308,1.76969,0.00091279,0.00091279,0.00091279
4,22.313,1.33318,1.60369,1.51052,0.51099,0.46953,0.49867,0.2307,2.06313,1.89191,2.05536,0.001213,0.001213,0.001213
5,27.3971,1.28786,1.4935,1.48022,0.29988,0.32896,0.32704,0.16919,2.24112,2.26558,2.0548,0.001217,0.001217,0.001217
6,32.541,1.24774,1.44705,1.44594,0.47415,0.45345,0.50628,0.27925,1.93123,1.76332,1.93696,0.00120875,0.00120875,0.00120875
7,37.666,1.217,1.36366,1.40515,0.393,0.50531,0.42432,0.21636,1.79266,1.99397,1.75185,0.0012005,0.0012005,0.0012005
8,42.9064,1.1949,1.33217,1.39766,0.6225,0.66251,0.63577,0.37266,1.58899,1.56775,1.52835,0.00119225,0.00119225,0.00119225
9,48.0295,1.19337,1.3119,1.40505,0.62256,0.66306,0.66037,0.39502,1.58789,1.38346,1.54052,0.001184,0.001184,0.001184
10,53.2114,1.15084,1.24411,1.38469,0.69176,0.51595,0.56768,0.29305,1.72513,1.68049,1.55423,0.00117575,0.00117575,0.00117575
11,58.3522,1.13377,1.2274,1.3679,0.4693,0.60895,0.56476,0.30564,1.64385,1.73044,1.50988,0.0011675,0.0011675,0.0011675
12,63.5298,1.13367,1.1694,1.34557,0.67286,0.69031,0.68971,0.40391,1.52167,1.31629,1.51821,0.00115925,0.00115925,0.00115925
13,68.6722,1.09198,1.15167,1.32388,0.62874,0.66387,0.68965,0.37413,1.70937,1.33508,1.77493,0.001151,0.001151,0.001151
14,73.832,1.07782,1.13511,1.34066,0.65488,0.66642,0.68052,0.38201,1.60624,1.34715,1.55846,0.00114275,0.00114275,0.00114275
15,78.9394,1.08396,1.10278,1.34091,0.75418,0.71087,0.7324,0.43,1.53423,1.19407,1.60588,0.0011345,0.0011345,0.0011345
16,84.0995,1.05744,1.1015,1.31687,0.79218,0.70804,0.77365,0.50015,1.32948,1.10457,1.37281,0.00112625,0.00112625,0.00112625
17,89.24,1.06291,1.0629,1.30262,0.71291,0.7214,0.75748,0.48939,1.33956,1.09078,1.36153,0.001118,0.001118,0.001118
18,94.3428,1.03321,1.05193,1.31083,0.72708,0.67931,0.7211,0.44615,1.36778,1.14375,1.39214,0.00110975,0.00110975,0.00110975
19,99.4542,1.01239,1.00383,1.30032,0.64242,0.6847,0.69466,0.4445,1.38751,1.2027,1.49009,0.0011015,0.0011015,0.0011015
20,104.586,1.03215,1.02532,1.30026,0.62222,0.68694,0.65553,0.41851,1.39901,1.29303,1.41494,0.00109325,0.00109325,0.00109325
21,109.738,1.0027,0.98353,1.28005,0.71689,0.77772,0.77356,0.47635,1.33851,1.07524,1.37545,0.001085,0.001085,0.001085
22,114.786,0.99756,0.95375,1.26186,0.79943,0.70477,0.75807,0.47402,1.3988,1.07856,1.49103,0.00107675,0.00107675,0.00107675
23,119.885,0.98186,0.9619,1.26944,0.74708,0.68677,0.73453,0.4768,1.35683,1.15367,1.31096,0.0010685,0.0010685,0.0010685
24,125.011,0.99358,0.95687,1.26747,0.70215,0.79594,0.79292,0.53698,1.19611,0.96365,1.29048,0.00106025,0.00106025,0.00106025
