epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2569,0,104.157,0,0,0,0,0,0,101.106,0,0.0003,0.0003,0.0003
2,177.866,0,61.6633,0,0,0,0,0,0,89.5024,0,0.000607447,0.000607447,0.000607447
3,263.533,0,34.8237,0,0,0,0,0,0,26.5595,0,0.000909738,0.000909738,0.000909738
4,346.418,0,19.7055,0,0,0,0,0,0,12.876,0,0.00120687,0.00120687,0.00120687
5,429.425,0,11.4979,0,0,0,0,0,0,7.41488,0,0.00120875,0.00120875,0.00120875
6,514.966,0,6.49029,0,0,0,0,0,0,4.6837,0,0.00119844,0.00119844,0.00119844
7,597.463,0,3.57694,0,0,0,0,0,0,2.55531,0,0.00118812,0.00118812,0.00118812
8,679.136,0,1.9782,0,0,0,0,0,0,1.29319,0,0.00117781,0.00117781,0.00117781
9,761.627,0,1.0353,0,0,0,0,0,0,0.76066,0,0.0011675,0.0011675,0.0011675
10,846.03,0,0.56386,0,0,0,0,0,0,0.41905,0,0.00115719,0.00115719,0.00115719
11,930.107,0,0.26919,0,0,0,0,0,0,0.21087,0,0.00114688,0.00114688,0.00114688
12,1013.85,0,0.13164,0,0,0,0,0,0,0.09756,0,0.00113656,0.00113656,0.00113656
13,1097.63,0,0.06574,0,0,0,0,0,0,0.0512,0,0.00112625,0.00112625,0.00112625
14,1182.09,0,0.03043,0,0,0,0,0,0,0.01515,0,0.00111594,0.00111594,0.00111594
15,1266.52,0,0.00894,0,0,0,0,0,0,0.0071,0,0.00110563,0.00110563,0.00110563
16,1350.64,0,0.00478,0,0,0,0,0,0,0.00172,0,0.00109531,0.00109531,0.00109531
17,1435.35,0,0.00069,0,0,0,0,0,0,6e-05,0,0.001085,0.001085,0.001085
18,1519.42,0,0,0,0,0,0,0,0,0,0,0.00107469,0.00107469,0.00107469
19,1603.21,0,0,0,0,0,0,0,0,0,0,0.00106437,0.00106437,0.00106437
20,1687.64,0,0,0,0,0,0,0,0,0,0,0.00105406,0.00105406,0.00105406
