epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76064,0.85993,0.58961,1.40808,0.96785,1,0.995,0.80784,0.79489,0.40752,2.13344,0,0,0
2,7.46303,0.83236,0.5546,1.3939,0.96943,1,0.995,0.80784,0.7999,0.40376,2.13131,5.20793e-06,5.20793e-06,5.20793e-06
3,10.4681,0.7857,0.62785,1.41138,0.96734,1,0.995,0.80784,0.80243,0.40105,2.13083,1.03117e-05,1.03117e-05,1.03117e-05
4,13.5561,0.88184,0.63501,1.55601,0.96696,1,0.995,0.80784,0.80229,0.39689,2.12164,1.53113e-05,1.53113e-05,1.53113e-05
5,17.0443,0.87484,0.5516,1.48638,0.96723,1,0.995,0.80081,0.80493,0.39509,2.11708,2.02068e-05,2.02068e-05,2.02068e-05
6,20.2645,0.85594,0.57676,1.51158,0.96413,1,0.995,0.80081,0.80895,0.39545,2.10677,2.49982e-05,2.49982e-05,2.49982e-05
7,23.2506,0.75732,0.51996,1.25577,0.96466,1,0.995,0.80081,0.80707,0.3937,2.10829,2.96853e-05,2.96853e-05,2.96853e-05
8,26.3118,0.69426,0.51759,1.43793,0.96421,1,0.995,0.80081,0.80459,0.39629,2.1201,3.42684e-05,3.42684e-05,3.42684e-05
9,29.4712,0.84075,0.54388,1.47621,0.96739,1,0.995,0.80081,0.807,0.39184,2.11746,3.87473e-05,3.87473e-05,3.87473e-05
10,32.6075,0.78394,0.55917,1.43364,0.96595,1,0.995,0.80081,0.81092,0.39552,2.10986,4.3122e-05,4.3122e-05,4.3122e-05
11,36.0307,0.81043,0.54502,1.29767,0.96577,1,0.995,0.80124,0.81152,0.3988,2.10646,4.73926e-05,4.73926e-05,4.73926e-05
12,39.4362,0.82599,0.52702,1.63227,0.96337,1,0.995,0.80178,0.81571,0.4042,2.10809,5.1559e-05,5.1559e-05,5.1559e-05
13,42.4524,0.75588,0.42702,1.25473,0.962,1,0.995,0.80178,0.81965,0.41411,2.10923,5.56213e-05,5.56213e-05,5.56213e-05
14,45.8613,0.86467,0.54914,1.31774,0.96356,1,0.995,0.80178,0.823,0.4235,2.11309,5.95795e-05,5.95795e-05,5.95795e-05
15,49.2825,0.72679,0.49067,1.32061,0.96083,1,0.995,0.80178,0.82288,0.43682,2.1124,6.34335e-05,6.34335e-05,6.34335e-05
16,52.3703,0.78584,0.53308,1.71169,0.95929,1,0.995,0.80178,0.82071,0.44479,2.11359,6.71834e-05,6.71834e-05,6.71834e-05
17,55.6343,0.85957,0.63074,1.80768,0.95624,1,0.995,0.80178,0.81567,0.45275,2.11304,7.08291e-05,7.08291e-05,7.08291e-05
18,59.1429,0.90945,0.57499,1.22988,0.95624,1,0.995,0.80178,0.81567,0.45275,2.11304,7.43706e-05,7.43706e-05,7.43706e-05
19,62.4318,0.72455,0.45868,1.30066,0.95776,1,0.995,0.80178,0.81741,0.47869,2.12296,7.7808e-05,7.7808e-05,7.7808e-05
20,65.5316,0.67377,0.51049,1.73795,0.95776,1,0.995,0.80178,0.81741,0.47869,2.12296,8.11413e-05,8.11413e-05,8.11413e-05
21,68.8409,0.83393,0.5385,1.86661,0.95134,1,0.995,0.80904,0.81872,0.49639,2.12227,8.43704e-05,8.43704e-05,8.43704e-05
22,71.965,0.74789,0.47248,1.42693,0.95134,1,0.995,0.80904,0.81872,0.49639,2.12227,8.74954e-05,8.74954e-05,8.74954e-05
23,75.6035,0.83808,0.55992,1.23685,0.94597,1,0.995,0.80178,0.82988,0.51397,2.12494,9.05162e-05,9.05162e-05,9.05162e-05
